date,Date,Close,Volume,P/S Ratio
2016-10-28,10/28/2016,199.970001,4280100,5.049
2016-10-31,10/31/2016,197.729996,4692300,4.976
2016-11-01,11/1/2016,190.789993,7060000,4.96
2016-11-02,11/2/2016,188.020004,4253400,5.043
2016-11-03,11/3/2016,187.419998,2653000,5.113
2016-11-04,11/4/2016,190.559998,5146000,5.159
2016-11-07,11/7/2016,193.210007,3870100,4.905
2016-11-08,11/8/2016,194.940002,3251400,4.99
2016-11-09,11/9/2016,190.059998,8173100,4.802
2016-11-10,11/10/2016,185.350006,6750300,4.863
2016-11-11,11/11/2016,188.559998,3988500,4.868
2016-11-14,11/14/2016,181.449997,6542200,4.993
2016-11-15,11/15/2016,183.770004,3902000,4.897
2016-11-16,11/16/2016,183.929993,3430400,4.883
2016-11-17,11/17/2016,188.660004,4887100,5.059
2016-11-18,11/18/2016,185.020004,5210300,5.111
2016-11-21,11/21/2016,184.520004,4361000,5.204
2016-11-22,11/22/2016,191.169998,5603400,5.19
2016-11-23,11/23/2016,193.139999,4885300,5.017
2016-11-25,11/25/2016,196.649994,2366100,5.012
2016-11-28,11/28/2016,196.119995,4529200,4.813
2016-11-29,11/29/2016,189.570007,4439300,4.803
2016-11-30,11/30/2016,189.399994,3547100,4.944
2016-12-01,12/1/2016,181.880005,5126400,4.919
2016-12-02,12/2/2016,181.470001,4042300,5.112
2016-12-05,12/5/2016,186.800003,4072200,5.089
2016-12-06,12/6/2016,185.850006,3391600,5.086
2016-12-07,12/7/2016,193.149994,5461900,5.093
2016-12-08,12/8/2016,192.289993,3194100,5.244
2016-12-09,12/9/2016,192.179993,2722500,5.258
2016-12-12,12/12/2016,192.429993,2438900,5.229
2016-12-13,12/13/2016,198.149994,6823900,5.359
2016-12-14,12/14/2016,198.690002,4150900,5.365
2016-12-15,12/15/2016,197.580002,3219600,5.526
2016-12-16,12/16/2016,202.490005,3779800,5.497
2016-12-19,12/19/2016,202.729996,3488100,5.517
2016-12-20,12/20/2016,208.789993,4689100,5.646
2016-12-21,12/21/2016,207.699997,5207600,5.646
2016-12-22,12/22/2016,208.449997,3111100,5.81
2016-12-23,12/23/2016,213.339996,4662900,5.815
2016-12-27,12/27/2016,219.529999,5915700,5.682
2016-12-28,12/28/2016,219.740005,3782500,5.655
2016-12-29,12/29/2016,214.679993,4035900,4.732
2016-12-30,12/30/2016,213.690002,4642600,4.805
2017-01-03,1/3/2017,216.990005,5923300,5.027
2017-01-04,1/4/2017,226.990005,11213500,5.022
2017-01-05,1/5/2017,226.75,5911700,5.072
2017-01-06,1/6/2017,229.009995,5527900,5.122
2017-01-09,1/9/2017,231.279999,3957000,5.091
2017-01-10,1/10/2017,229.869995,3660000,5.088
2017-01-11,1/11/2017,229.729996,3650800,5.084
2017-01-12,1/12/2017,229.589996,3790200,5.265
2017-01-13,1/13/2017,237.75,6093000,5.217
2017-01-17,1/17/2017,235.580002,4611900,5.279
2017-01-18,1/18/2017,238.360001,3769000,5.398
2017-01-19,1/19/2017,243.759995,7732300,5.42
2017-01-20,1/20/2017,244.729996,4204300,5.513
2017-01-23,1/23/2017,248.919998,6262900,5.63
2017-01-24,1/24/2017,254.610001,4965500,5.635
2017-01-25,1/25/2017,254.470001,5142600,5.592
2017-01-26,1/26/2017,252.509995,3152100,5.602
2017-01-27,1/27/2017,252.949997,3166300,5.55
2017-01-30,1/30/2017,250.630005,3801100,5.579
2017-01-31,1/31/2017,251.929993,4116100,5.566
2017-02-01,2/1/2017,249.240005,3958800,5.709
2017-02-02,2/2/2017,251.550003,2499800,5.702
2017-02-03,2/3/2017,251.330002,2186700,5.804
2017-02-06,2/6/2017,257.769989,3562500,5.962
2017-02-07,2/7/2017,257.480011,4244800,5.962
2017-02-08,2/8/2017,262.079987,3933000,6.214
2017-02-09,2/9/2017,269.200012,7820200,6.223
2017-02-10,2/10/2017,269.230011,3619700,6.196
2017-02-13,2/13/2017,280.600006,7029600,5.956
2017-02-14,2/14/2017,280.980011,7329400,6.029
2017-02-15,2/15/2017,279.76001,4947900,6.143
2017-02-16,2/16/2017,268.950012,7077300,6.057
2017-02-17,2/17/2017,272.230011,6257100,5.669
2017-02-21,2/21/2017,277.390015,5676700,5.691
2017-02-22,2/22/2017,273.51001,8755000,5.453
2017-02-23,2/23/2017,255.990005,14915200,5.536
2017-02-24,2/24/2017,257,8171600,5.537
2017-02-27,2/27/2017,246.229996,11460800,5.547
2017-02-28,2/28/2017,249.990005,6078100,5.571
2017-03-01,3/1/2017,250.020004,4809500,5.563
2017-03-02,3/2/2017,250.479996,3351800,5.505
2017-03-03,3/3/2017,251.570007,2919400,5.467
2017-03-06,3/6/2017,251.210007,3355500,5.424
2017-03-07,3/7/2017,248.589996,3459500,5.397
2017-03-08,3/8/2017,246.869995,3725200,5.452
2017-03-09,3/9/2017,244.899994,3879300,5.714
2017-03-10,3/10/2017,243.690002,3066300,5.663
2017-03-13,3/13/2017,246.169998,3022600,5.803
2017-03-14,3/14/2017,258,7598400,5.791
2017-03-15,3/15/2017,255.729996,5330800,5.8
2017-03-16,3/16/2017,262.049988,7132200,5.552
2017-03-17,3/17/2017,261.5,6497500,5.647
2017-03-20,3/20/2017,261.920013,3614300,5.642
2017-03-21,3/21/2017,250.679993,6908600,5.828
2017-03-22,3/22/2017,255.009995,4059300,5.984
2017-03-23,3/23/2017,254.779999,3320200,6.144
2017-03-24,3/24/2017,263.160004,5647300,6.155
2017-03-27,3/27/2017,270.220001,6230800,5.278
2017-03-28,3/28/2017,277.450012,7987600,5.661
2017-03-29,3/29/2017,277.380005,3676200,5.759
2017-03-30,3/30/2017,277.920013,4148400,5.594
2017-03-31,3/31/2017,278.299988,3294600,5.665
2017-04-03,4/3/2017,298.519989,13888600,5.737
2017-04-04,4/4/2017,303.700012,10134600,5.924
2017-04-05,4/5/2017,295,7880900,5.854
2017-04-06,4/6/2017,298.700012,5520600,5.629
2017-04-07,4/7/2017,302.540009,4579600,5.765
2017-04-10,4/10/2017,312.390015,7664500,5.716
2017-04-11,4/11/2017,308.709991,5724600,5.694
2017-04-12,4/12/2017,296.839996,6050700,5.794
2017-04-13,4/13/2017,304,9284600,5.737
2017-04-17,4/17/2017,301.440002,4138700,5.795
2017-04-18,4/18/2017,300.25,3035700,5.841
2017-04-19,4/19/2017,305.519989,3898000,5.951
2017-04-20,4/20/2017,302.51001,6149400,5.882
2017-04-21,4/21/2017,305.600006,4509800,5.853
2017-04-24,4/24/2017,308.029999,5083500,5.956
2017-04-25,4/25/2017,313.790009,6737700,6.122
2017-04-26,4/26/2017,310.170013,4695000,6.047
2017-04-27,4/27/2017,308.630005,3468600,5.898
2017-04-28,4/28/2017,314.070007,4463400,5.603
2017-05-01,5/1/2017,322.829987,8829600,5.848
2017-05-02,5/2/2017,318.890015,5382800,5.826
2017-05-03,5/3/2017,311.019989,7133400,6.092
2017-05-04,5/4/2017,295.459991,14152000,6.167
2017-05-05,5/5/2017,308.350006,8177300,6.127
2017-05-08,5/8/2017,307.190002,7006500,6.16
2017-05-09,5/9/2017,321.26001,9676500,5.99
2017-05-10,5/10/2017,325.220001,5741600,6.012
2017-05-11,5/11/2017,323.100006,4753800,5.805
2017-05-12,5/12/2017,324.809998,4121600,5.937
2017-05-15,5/15/2017,315.880005,7622000,5.895
2017-05-16,5/16/2017,317.01001,4152500,5.762
2017-05-17,5/17/2017,306.109985,6711900,5.883
2017-05-18,5/18/2017,313.059998,5653800,6.008
2017-05-19,5/19/2017,310.829987,4687600,6.166
2017-05-22,5/22/2017,310.350006,4329200,6.355
2017-05-23,5/23/2017,303.859985,4318400,6.467
2017-05-24,5/24/2017,310.220001,5033300,6.455
2017-05-25,5/25/2017,316.829987,5014000,6.587
2017-05-26,5/26/2017,325.140015,7802200,6.691
2017-05-30,5/30/2017,335.100006,7782900,6.82
2017-05-31,5/31/2017,341.01001,9963400,7.017
2017-06-01,6/1/2017,340.369995,7608000,6.776
2017-06-02,6/2/2017,339.850006,5590200,6.808
2017-06-05,6/5/2017,347.320007,6784400,7.129
2017-06-06,6/6/2017,352.850006,11086800,7.219
2017-06-07,6/7/2017,359.649994,9398000,7.118
2017-06-08,6/8/2017,370,9009800,7.043
2017-06-09,6/9/2017,357.320007,17261400,7.013
2017-06-12,6/12/2017,359.01001,10517700,7.059
2017-06-13,6/13/2017,375.950012,11807900,7.138
2017-06-14,6/14/2017,380.660004,12818400,7.256
2017-06-15,6/15/2017,375.339996,10426500,7.272
2017-06-16,6/16/2017,371.399994,6731000,7.159
2017-06-19,6/19/2017,369.799988,6549300,6.872
2017-06-20,6/20/2017,372.23999,7438700,7.04
2017-06-21,6/21/2017,376.399994,4923200,6.841
2017-06-22,6/22/2017,382.609985,7529800,5.933
2017-06-23,6/23/2017,383.450012,6445800,5.786
2017-06-26,6/26/2017,377.48999,6604100,5.786
2017-06-27,6/27/2017,362.369995,6996400,5.367
2017-06-28,6/28/2017,371.23999,6302500,5.067
2017-06-29,6/29/2017,360.75,8221000,5.139
2017-06-30,6/30/2017,361.609985,5848500,5.186
2017-07-03,7/3/2017,352.619995,6305400,5.369
2017-07-05,7/5/2017,327.089996,17046700,5.407
2017-07-06,7/6/2017,308.829987,19324500,5.307
2017-07-07,7/7/2017,313.220001,14176900,5.378
2017-07-10,7/10/2017,316.049988,13820900,5.244
2017-07-11,7/11/2017,327.220001,11559400,5.386
2017-07-12,7/12/2017,329.519989,10346100,5.337
2017-07-13,7/13/2017,323.410004,8594500,5.413
2017-07-14,7/14/2017,327.779999,5625200,5.388
2017-07-17,7/17/2017,319.570007,9876900,5.62
2017-07-18,7/18/2017,328.23999,6373700,5.572
2017-07-19,7/19/2017,325.26001,6357000,5.642
2017-07-20,7/20/2017,329.920013,5166200,5.488
2017-07-21,7/21/2017,328.399994,4901600,5.308
2017-07-24,7/24/2017,342.519989,8637100,5.244
2017-07-25,7/25/2017,339.600006,6989200,5.347
2017-07-26,7/26/2017,343.850006,4820800,5.695
2017-07-27,7/27/2017,334.459991,8302400,5.856
2017-07-28,7/28/2017,335.070007,4880400,5.828
2017-07-31,7/31/2017,323.470001,8535100,5.993
2017-08-01,8/1/2017,319.570007,8303100,5.965
2017-08-02,8/2/2017,325.890015,13091500,5.831
2017-08-03,8/3/2017,347.089996,13535000,5.872
2017-08-04,8/4/2017,356.910004,9268900,5.969
2017-08-07,8/7/2017,355.170013,6324500,5.945
2017-08-08,8/8/2017,365.220001,7449800,5.955
2017-08-09,8/9/2017,363.529999,6892100,5.774
2017-08-10,8/10/2017,355.399994,7092900,5.701
2017-08-11,8/11/2017,357.869995,4365800,5.544
2017-08-14,8/14/2017,363.799988,4502700,5.601
2017-08-15,8/15/2017,362.329987,3085100,5.788
2017-08-16,8/16/2017,362.910004,3413800,5.791
2017-08-17,8/17/2017,351.920013,5027700,5.711
2017-08-18,8/18/2017,347.459991,5408200,5.672
2017-08-21,8/21/2017,337.859985,6495400,5.7
2017-08-22,8/22/2017,341.350006,4322000,5.795
2017-08-23,8/23/2017,352.769989,4954500,5.84
2017-08-24,8/24/2017,352.929993,4584700,5.831
2017-08-25,8/25/2017,348.049988,3484000,5.831
2017-08-28,8/28/2017,345.660004,3764000,5.736
2017-08-29,8/29/2017,347.359985,4073700,5.653
2017-08-30,8/30/2017,353.179993,3412900,5.753
2017-08-31,8/31/2017,355.899994,4072800,5.635
2017-09-01,9/1/2017,355.399994,3049500,5.967
2017-09-05,9/5/2017,349.589996,3835100,5.952
2017-09-06,9/6/2017,344.529999,4091400,6.009
2017-09-07,9/7/2017,350.609985,4239200,6.196
2017-09-08,9/8/2017,343.399994,3263500,6.232
2017-09-11,9/11/2017,363.690002,7667100,6.317
2017-09-12,9/12/2017,362.75,5972900,6.155
2017-09-13,9/13/2017,366.230011,4185200,6.135
2017-09-14,9/14/2017,377.640015,7202500,6.013
2017-09-15,9/15/2017,379.809998,5420500,5.761
2017-09-18,9/18/2017,385,7188000,5.661
2017-09-19,9/19/2017,375.100006,6451900,5.665
2017-09-20,9/20/2017,373.910004,4919100,5.595
2017-09-21,9/21/2017,366.480011,4618200,5.572
2017-09-22,9/22/2017,351.089996,8159400,5.597
2017-09-25,9/25/2017,344.98999,7605900,5.312
2017-09-26,9/26/2017,345.25,7156300,5.415
2017-09-27,9/27/2017,340.970001,6060300,5.522
2017-09-28,9/28/2017,339.600006,5319600,5.527
2017-09-29,9/29/2017,341.100006,5107100,5.551
2017-10-02,10/2/2017,341.529999,5286800,5.334
2017-10-03,10/3/2017,348.140015,10153600,5.531
2017-10-04,10/4/2017,355.01001,8163500,5.516
2017-10-05,10/5/2017,355.329987,4171700,5.533
2017-10-06,10/6/2017,356.880005,4297500,5.531
2017-10-09,10/9/2017,342.940002,7493700,5.454
2017-10-10,10/10/2017,355.589996,6978500,5.534
2017-10-11,10/11/2017,354.600006,4500800,5.594
2017-10-12,10/12/2017,355.679993,4087000,5.472
2017-10-13,10/13/2017,355.570007,3540500,5.368
2017-10-16,10/16/2017,350.600006,5375500,5.242
2017-10-17,10/17/2017,355.75,3293300,5.247
2017-10-18,10/18/2017,359.649994,4939100,5.068
2017-10-19,10/19/2017,351.809998,5061800,5.074
2017-10-20,10/20/2017,345.100006,4930400,4.991
2017-10-23,10/23/2017,337.019989,5747300,4.979
2017-10-24,10/24/2017,337.339996,4491700,5.157
2017-10-25,10/25/2017,325.839996,8594100,4.994
2017-10-26,10/26/2017,326.170013,5023500,4.655
2017-10-27,10/27/2017,320.869995,6979700,4.761
2017-10-30,10/30/2017,320.079987,4254400,4.71
2017-10-31,10/31/2017,331.529999,5672300,4.713
2017-11-01,11/1/2017,321.079987,8457300,4.906
2017-11-02,11/2/2017,299.26001,19791400,4.802
2017-11-03,11/3/2017,306.089996,8894000,4.842
2017-11-06,11/6/2017,302.779999,6486000,4.861
2017-11-07,11/7/2017,306.049988,5294300,4.901
2017-11-08,11/8/2017,304.390015,4725300,4.802
2017-11-09,11/9/2017,302.98999,5447100,4.943
2017-11-10,11/10/2017,302.98999,4625400,4.862
2017-11-13,11/13/2017,315.399994,7584900,4.908
2017-11-14,11/14/2017,308.700012,5676100,4.928
2017-11-15,11/15/2017,311.299988,5978700,4.939
2017-11-16,11/16/2017,312.5,5822100,4.784
2017-11-17,11/17/2017,315.049988,13735100,4.804
2017-11-20,11/20/2017,308.73999,8247700,4.768
2017-11-21,11/21/2017,317.809998,7261300,4.747
2017-11-22,11/22/2017,312.600006,4917600,4.724
2017-11-24,11/24/2017,315.549988,3244100,4.873
2017-11-27,11/27/2017,316.809998,4555900,4.841
2017-11-28,11/28/2017,317.549988,4949500,4.902
2017-11-29,11/29/2017,307.540009,8767400,5.116
2017-11-30,11/30/2017,308.850006,4351600,5.305
2017-12-01,12/1/2017,306.529999,4292900,5.274
2017-12-04,12/4/2017,305.200012,5835100,5.256
2017-12-05,12/5/2017,303.700012,4646500,5.342
2017-12-06,12/6/2017,313.26001,7195300,5.271
2017-12-07,12/7/2017,311.23999,4780600,5.15
2017-12-08,12/8/2017,315.130005,3468500,5.117
2017-12-11,12/11/2017,328.910004,7938000,5.159
2017-12-12,12/12/2017,341.029999,8733200,5.058
2017-12-13,12/13/2017,339.029999,6221500,5.058
2017-12-14,12/14/2017,337.890015,5799900,4.935
2017-12-15,12/15/2017,343.450012,6933200,4.847
2017-12-18,12/18/2017,338.869995,5476200,4.457
2017-12-19,12/19/2017,331.100006,6825000,4.588
2017-12-20,12/20/2017,328.980011,5953800,4.541
2017-12-21,12/21/2017,331.660004,4385200,4.503
2017-12-22,12/22/2017,325.200012,4215800,4.532
2017-12-26,12/26/2017,317.290009,4378400,4.815
2017-12-27,12/27/2017,311.640015,4712100,4.776
2017-12-28,12/28/2017,315.359985,4316300,4.792
2017-12-29,12/29/2017,311.350006,3777200,4.837
2018-01-02,1/2/2018,320.529999,4352200,4.813
2018-01-03,1/3/2018,317.25,4521500,4.813
2018-01-04,1/4/2018,314.619995,9946300,4.868
2018-01-05,1/5/2018,316.579987,4591200,4.969
2018-01-08,1/8/2018,336.410004,9859400,4.932
2018-01-09,1/9/2018,333.690002,7146600,5.01
2018-01-10,1/10/2018,334.799988,4309900,5.032
2018-01-11,1/11/2018,337.950012,6645500,5.05
2018-01-12,1/12/2018,336.220001,4825100,4.951
2018-01-16,1/16/2018,340.059998,6474300,4.833
2018-01-17,1/17/2018,347.160004,7083700,4.908
2018-01-18,1/18/2018,344.570007,5685800,5.003
2018-01-19,1/19/2018,350.019989,4888300,4.95
2018-01-22,1/22/2018,351.559998,6210400,5.072
2018-01-23,1/23/2018,352.790009,5465400,4.999
